action,content_type_name,parent_content_type_name,project_id,user_id
content_published,post,brainstorm,91,51323
content_published,idea,brainstorm,91,74912
content_published,idea,brainstorm,91,63773
content_published,idea,brainstorm,91,75755
content_published,idea,brainstorm,91,75755
content_published,idea,brainstorm,91,75755
content_published,idea,brainstorm,91,81892
content_published,idea,brainstorm,91,75986
content_published,idea,brainstorm,91,75950
content_published,idea,brainstorm,91,75950
content_published,idea,brainstorm,91,110818
content_published,idea,brainstorm,91,181171
content_published,idea,brainstorm,122,78201
content_published,idea,brainstorm,122,68711
content_published,idea,brainstorm,122,78201
content_published,idea,brainstorm,122,63127
content_published,idea,brainstorm,122,82759
content_published,idea,brainstorm,122,59545
content_published,post,brainstorm,122,84961
content_published,post,brainstorm,122,84961
content_published,idea,brainstorm,126,76446
content_published,idea,brainstorm,155,1439
content_published,idea,brainstorm,157,83092
content_published,idea,brainstorm,157,152244
content_published,idea,brainstorm,157,152244
content_published,idea,brainstorm,149,76589
content_published,idea,brainstorm,149,76463
content_published,idea,brainstorm,149,79398
content_published,idea,brainstorm,149,81184
content_published,idea,brainstorm,149,83173
content_published,idea,brainstorm,149,186985
content_published,idea,brainstorm,149,186985
content_published,idea,brainstorm,149,204464
content_published,idea,brainstorm,209,69302
content_published,idea,brainstorm,209,69302
content_published,idea,brainstorm,209,75436
content_published,idea,brainstorm,209,19433
content_published,idea,brainstorm,209,75674
content_published,idea,brainstorm,209,76089
content_published,idea,brainstorm,209,68671
content_published,idea,brainstorm,209,76388
content_published,idea,brainstorm,209,76901
content_published,idea,brainstorm,209,76749
content_published,idea,brainstorm,209,76738
content_published,idea,brainstorm,209,77252
content_published,idea,brainstorm,209,77320
content_published,idea,brainstorm,209,78041
content_published,idea,brainstorm,209,77578
content_published,idea,brainstorm,209,78038
content_published,idea,brainstorm,209,79045
content_published,idea,brainstorm,209,79066
content_published,idea,brainstorm,209,78876
content_published,idea,brainstorm,209,79065
content_published,idea,brainstorm,209,79108
content_published,idea,brainstorm,209,79563
content_published,idea,brainstorm,209,79806
content_published,idea,brainstorm,209,79773
content_+A34published,idea,brainstorm,209,80000
content_published,idea,brainstorm,209,79568
content_published,idea,brainstorm,209,69302
content_published,idea,brainstorm,209,79783
content_published,idea,brainstorm,209,75719
content_published,idea,brainstorm,209,79374
content_published,idea,brainstorm,209,79374
content_published,idea,brainstorm,209,81099
content_published,idea,brainstorm,209,82711
content_published,idea,brainstorm,209,81099
content_published,idea,brainstorm,209,82853
content_published,idea,brainstorm,209,82853
content_published,idea,brainstorm,209,76525
content_published,idea,brainstorm,209,75137
content_published,idea,brainstorm,209,68711
